# Page 1
To disburse the first instalment of Untied/ Basic Grants for the year 2022-2023 under Non-Million Plus Cities as per the recommendations of the 15th Finance Commission.
The Government of Maharashtra
the Urban Development Department
Government Resolution No: FFC-2023/ No.35/ NV-4
Mantralaya, Mumbai- 400032
Date: 30th of March, 2023
Read: 1. Urban Development Department, Govt. FFC 2020/ Q.No.56/ NO-04, Dt. 28.10.2020 2. Letter from the Central Government (ULB Release No. 123/2022-23) No.F15 (03)/ FC-XV/ FCD/ 2020-25, dated 29.03.2023.
The Proposal:
The 15th Finance Commission has been constituted for the period 2021-22 to 2025-26. 2 Under the 15th Finance Commission Order dated 29.03.2023, Rs. 191.00 crore has been received for the year 2022-23 and the matter of disbursement of the same to the Urban Local Bodies in the State was under consideration of the Government.
Government's decision:
As per the recommendations of the 15th Central Finance Commission, Govt. The first instalment of Untied/ Basic Grants for the year 2022-2023 released under the order is Rs. 191.00 crore to all eligible D category Municipal Corporations, Municipal Councils and Nagar Panchayats in Non-Million Plus Cities group and Cuttack Mandal on the basis of i) Population ii) Area as indicated in the Annexure.
2) Rs. 191.00 crore is being handed over to the Commissioner and Director, Directorate of Municipal Administration for disbursement to the Urban Local Bodies as per Annexure. The Commissioner and Director, Directorate of Municipal Administration should immediately disburse their share of funds to the respective Urban Local Bodies through the PEMS system as per the annexure.
Application Certificate in the prescribed format of the amount of 15th Finance Commission Untied/ Basic Grants received from the Central Government for the financial year 2022-2023 from the immediate Commissioner and Director, Municipal Administration.
# Page 2
Government Resolution No: FFC-2023/ No.35/ NV-4, Directorate, Mumbai to be submitted to the Government. While spending from this subsidy, it will be mandatory to do as per the provisions of the government decision issued by the government as well as the instructions given from time to time. The grant is being distributed as" conditional."
As per the recommendations of the 15th Finance Commission, the first instalment of Untied/ Basic Grants for the year 2022-2023 is being disbursed to the D category Municipal Corporations, Municipalities and Nagar Panchayats as well as Cuttack Mandal as mentioned above. F-2, 2217 Urban Development, 05, Other Urban Development Schemes, 191, Assistance to Urban Local Bodies, Urban Development Authorities, Urban Development Boards, etc., (00) (03) Subsidiary Grants to Urban Local Bodies (Compulsory) as per the recommendations of the Fifteenth Finance Commission, (2217 A314) 31, Subsidiary Grants (Non-salaried).
The Joint Commissioner, Directorate of Municipal Administration is being declared as the Controlling Officer and the concerned Assistant Commissioner (Accounts), Directorate of Municipal Administration as the Drawing and Disbursing Officer for the purpose of collection and disbursement of the said funds.
6. The said Government Decision is a non-official reference of Finance Department No. 12/2023/ V.A.C., dated 30.03.2023 is being issued with the concurrence received.
-------------------------------------------------------------------------------------------------------
| The decision will be available on the website of the Maharashtra government www.maharashtra.gov.in. |
| The code is 202303301837104425.                                                                     |
| It is being verified by digital signature.                                                          |
-------------------------------------------------------------------------------------------------------
By order and in the name of the Governor of Maharashtra, MHENDRA
PARBAT DALVI
(Mahendra Singh Dhoni)
Administrative Officer, Government of Maharashtra 1. Additional Chief Secretary to Chief Minister 2. Chief Secretary, Mantralaya, Mumbai 3. Additional Chief Secretary, Finance Department, Mantralaya, Mumbai 4. Commissioner and Director, Directorate of Municipal Administration, Worli, Mumbai 5. Accountant General's Office, Maharashtra 1/2. Mumbai/ Nagpur 6. Subordinate and Accounts Officer, Mumbai 7. All Divisional Commissioners 8. All Collectors 9. Commissioners, all concerned Municipal Corporations 10. Chief Officers, all Municipal Councils/ Nagar Panchayats 11. Chief Executive Officers, concerned Taluk Mandals 2 out of 14
# Page 3
GOVERNMENT DECISION NO.: FFC-2023/ S.No.35/ NV-4, 12. All District Treasury Officers 13. Cell Officer (Viac), Ministry of Finance, Mumbai 14. Personal Assistant to Additional Chief Secretary, Urban Development-I Department, Ministry, Mumbai
Personal Assistant to Principal Secretary, Urban Development-II, Mantralaya, Mumbai 16. Selection, Navi-IV Office, Urban Development Department, Mantralaya, Mumbai
Page 3 of 14
# Page 4
Government Resolution No: FFC-2023/ No.35/ No.4,
Annexure with Government Resolution No. FFC-2023/ No.35/ NV-4 dated 30th March, 2023.
---------------------------------------------------------------------------------------------------------------------------------------
| A.A.    | the District             | Name of the Board M.N.P./ N.P./ N.P./ Cuttack | Funds payable as per population and area (Rs.) |
| 264 | bead           | Ambejogai Municipal Council      | 60,23,627    |
| 265 | bead           | Parli Vaijnath Municipal Council | 73,01,833    |
| 266 | bead           | the Majalgaon Municipal Council  | 39,80,003    |
| 267 | bead           | Gevrai Municipal Council         | 27,25,570    |
| 268 | bead           | Dharur Municipal Council         | 17,10,342    |
| 269 | bead           | Kej Nagar Panchayat              | 33,34,798    |
| 270 | bead           | Vadavani Nagar Panchayat         | 14,94,343    |
| 271 | bead           | Ashti Nagar Panchayat            | 21,05,481    |
| 272 | bead           | Patoda Nagar Panchayat           | 27,24,378    |
| 273 | bead           | Shirur Kasar Nagar Panchayat     | 6,01,014     |
| 274 | buldhana       | the Buldhana Municipal Council   | 55,27,034    |
--------------------------------------------------------------------------
Page 14 of 10
# Page 11
Government Resolution No: FFC-2023/ No.35/ No.4,
-----------------------------------------------------------------------
| 275 | buldhana  | Khamgaon Municipal Council         | 76,78,808    |
| 276 | buldhana  | the Malkapur Municipal Council     | 54,21,215    |
| 277 | buldhana  | Shegaon Municipal Council          | 48,05,247    |
| 278 | buldhana  | Jalgaon Jamod Municipal Council    | 22,90,109    |
| 279 | buldhana  | Mehkar Municipal Council           | 36,90,511    |
| 280 | buldhana  | the Nandura Municipal Council      | 38,64,215    |
| 281 | buldhana  | Chikhli Municipal Council          | 47,12,230    |
| 282 | buldhana  | Deulgaon Raja Municipal Council    | 25,91,559    |
| 283 | buldhana  | Lonar Municipal Council            | 18,48,807    |
| 284 | buldhana  | Sindkhedraja Municipal Council     | 21,76,916    |
| 285 | buldhana  | Motala Nagar Panchayat             | 10,43,342    |
| 286 | buldhana  | Sangrampur Nagar Panchayat         | 6,74,638     |
| 287 | Amaravati | the Amravati Municipal Corporation | 5,34,25, 121 |
| 288 | Amaravati | Achalpur Municipal Council         | 91,69,810    |
| 289 | Amaravati | Anjangaon Surji Municipal Council  | 44,91,273    |
| 290 | Amaravati | Warud Municipal Council            | 44,49,095    |
| 291 | Amaravati | Morshi Municipal Council           | 33,20,434    |
| 292 | Amaravati | Daryapur Municipal Council         | 29,49,200    |
| 293 | Amaravati | Chandur Railway Municipal Council  | 16,06,050    |
| 294 | Amaravati | Chandurbazar Municipal Council     | 15,13,769    |
| 295 | Amaravati | Dhamangaon Municipal Council       | 17,22,322    |
| 296 | Amaravati | Shendurjana Municipal Council      | 21,38,193    |
| 297 | Amaravati | Chikhaldara Municipal Council      | 4,92,568     |
| 298 | Amaravati | Tivsa Nagar Panchayat              | 25,31,669    |
| 299 | Amaravati | Dharani Nagar Panchayat            | 14,31,493    |
| 300 | Amaravati | Bhatkuli Nagar Panchayat           | 13,19,925    |
| 301 | Amaravati | Nandgaon Khandeshwar               | 18,28,571    |
| 302 | Yavatmal  | Yavatmal Municipal Council         | 2,13,35, 732 |
| 303 | Yavatmal  | Darvaha Municipal Council          | 20,68,417    |
| 304 | Yavatmal  | Ghatanji Municipal Council         | 19,12,813    |
| 305 | Yavatmal  | the Digras Municipal Council       | 37,62,126    |
| 306 | Yavatmal  | the Pusad Municipal Council        | 58,93,171    |
| 307 | Yavatmal  | Umarkhed Municipal Council         | 43,76,503    |
| 308 | Yavatmal  | Pandharkawada Municipal Council    | 25,25,265    |
| 309 | Yavatmal  | Wani Municipal Council             | 48,11,736    |
| 310 | Yavatmal  | Ner-Nawabpur Municipal Council     | 28,52,035    |
| 311 | Yavatmal  | Arni Municipal Council             | 30,77,998    |
| 312 | Yavatmal  | Maregaon Nagar Panchayat           | 8,95,911     |
| 313 | Yavatmal  | Mahagaon Nagar Panchayat           | 8,32,182     |
| 314 | Yavatmal  | Kalamb Nagar Panchayat             | 19,62,191    |
-----------------------------------------------------------------------
Page 14 of 11
# Page 12
Government Resolution No: FFC-2023/ No.35/ No.4,
-----------------------------------------------------------------
| 315 | Yavatmal | Jari Jamani Nagar Panchayat   | 3,41,151     |
| 316 | Yavatmal | Ralegaon Nagar Panchayat      | 16,34,260    |
| 317 | Yavatmal | Babhulgaon Nagar Panchayat    | 5,65,862     |
| 318 | Yavatmal | Dhanaki Nagar Panchayat       | 17,86,971    |
| 319 | Washim   | the Karanja Municipal Council | 56,24,261    |
| 320 | Washim   | Mangalore City Corporation    | 25,24,232    |
| 321 | Washim   | Risod Municipal Council       | 29,98,354    |
| 322 | Washim   | Washim Municipal Council.     | 72,16,963    |
| 323 | Washim   | Malegaon Nagar Panchayat      | 20,02,491    |
| 324 | Washim   | Manora Nagar Panchayat        | 9,43,104     |
| 325 | Akola    | Akola Municipal Corporation   | 8,26,65, 602 |
| 326 | Akola    | the Telhara Municipal Council | 16,68,380    |
| 327 | Akola    | Akot Municipal Council        | 75,79,167    |
| 328 | Akola    | the Balapur Municipal Council | 36,15,847    |
| 329 | Akola    | Patur Municipal Council       | 17,68,858    |
| 330 | Akola    | Murtizapur Municipal Council  | 32,80,008    |
| 331 | Akola    | Barshitakali Nagar Panchayat  | 22,96,381    |
| 332 | Nagpur   | Kamthi Municipal Council      | 68,94,485    |
| 333 | Nagpur   | Umred Municipal Council       | 44,00,826    |
| 334 | Nagpur   | Ramtek Municipal Council      | 18,27,073    |
| 335 | Nagpur   | the Khapa Municipal Council   | 12,17,629    |
| 336 | Nagpur   | Kalmeshwar Municipal Council  | 18,63,883    |
| 337 | Nagpur   | the Mowad Municipal Council   | 8,37,113     |
| 338 | Nagpur   | Saoner Municipal Council      | 26,18,115    |
| 339 | Nagpur   | the Katol Municipal Council   | 38,33,694    |
| 340 | Nagpur   | the Narkhed Municipal Council | 17,43,873    |
| 341 | Nagpur   | the Mohapa Municipal Council  | 5,81,301     |
| 342 | Nagpur   | the Kanhan Municipal Council  | 23,08,080    |
| 343 | Nagpur   | Mouda Nagar Panchayat         | 11,74,306    |
| 344 | Nagpur   | Mahadula Nagar Panchayat      | 17,60,785    |
| 345 | Nagpur   | Kuhi Nagar Panchayat          | 10,00,188    |
| 346 | Nagpur   | Hingna Nagar Panchayat        | 7,67,822     |
| 347 | Nagpur   | Bhiwapur Nagar Panchayat      | 10,74,403    |
| 348 | Nagpur   | Wandongri Municipal Council   | 32,80,406    |
| 349 | Nagpur   | Parsivani Nagar Panchayat     | 12,38,081    |
| 350 | Nagpur   | Butibori Municipal Council    | 27,91,470    |
| 351 | Nagpur   | Wadi Municipal Council        | 43,46,691    |
| 352 | Nagpur   | Bahadur Nagar Panchayat       | 16,02,525    |
| 353 | Nagpur   | Besa-Pipla Nagar Panchayat    | 11,49,453    |
| 354 | Nagpur   | Kandri Nagar Panchayat        | 9,98,690     |
-----------------------------------------------------------------
Page 14 of 12
# Page 13
Government Resolution No: FFC-2023/ No.35/ No.4,
----------------------------------------------------------------------
| 355 | Nagpur     | Kamthi Katak Mandal              | 13,16,009    |
| 356 | Bhandara   | Bhandara Municipal Council       | 75,73,466    |
| 357 | Bhandara   | the Tumsar Municipal Council     | 36,80,429    |
| 358 | Bhandara   | the Pawani Municipal Council     | 19,79,546    |
| 359 | Bhandara   | Lakhandur Nagar Panchayat        | 10,45,750    |
| 360 | Bhandara   | Mohadi Nagar Panchayat           | 10,21,062    |
| 361 | Bhandara   | Sakoli Nagar Panchayat           | 22,62,215    |
| 362 | Bhandara   | Lakhani Nagar Panchayat          | 11,84,909    |
| 363 | Gondia     | the Gondia Municipal Council     | 1,08,11, 113 |
| 364 | Gondia     | the Tiroda Municipal Council     | 23,24,399    |
| 365 | Gondia     | Amgaon Municipal Council         | 31,86,014    |
| 366 | Gondia     | Deori Nagar Panchayat            | 14,57,663    |
| 367 | Gondia     | Saleksa Nagar Panchayat          | 12,01,547    |
| 368 | Gondia     | Road Arjuni Nagar Panchayat      | 5,45,747     |
| 369 | Gondia     | Goregaon Nagar Panchayat         | 9,07,009     |
| 370 | Gondia     | Arjuni Nagar Panchayat           | 8,53,235     |
| 371 | Wardha     | Wardha Municipal Council         | 86,04,335    |
| 372 | Wardha     | Arvi Municipal Council           | 35,06,792    |
| 373 | Wardha     | Hinganghat Municipal Council     | 82,61,919    |
| 374 | Wardha     | Pulgaon Municipal Council        | 27,17,272    |
| 375 | Wardha     | City Council.                    | 15,42,361    |
| 376 | Wardha     | the Sindhi Municipal Council     | 11,65,792    |
| 377 | Wardha     | Selu Nagar Panchayat             | 10,96,518    |
| 378 | Wardha     | Samudrapur Nagar Panchayat       | 6,14,324     |
| 379 | Wardha     | Ashti Nagar Panchayat            | 9,26,486     |
| 380 | Wardha     | Karanja Nagar Panchayat          | 10,39,237    |
| 381 | Chandrapur | Chandrapur Municipal Corporation | 2,63,64, 896 |
| 382 | Chandrapur | the Ballarpur Municipal Council  | 73,78,585    |
| 383 | Chandrapur | Warora Municipal Council         | 40,18,459    |
| 384 | Chandrapur | Bhadravati Municipal Council     | 55,55,283    |
| 385 | Chandrapur | the Children's City Council      | 25,14,850    |
| 386 | Chandrapur | the Brahmapuri Municipal Council | 33,15,552    |
| 387 | Chandrapur | Rajura Municipal Council         | 23,89,680    |
| 388 | Chandrapur | the Gadchandur Municipal Council | 24,80,816    |
| 389 | Chandrapur | Chimur Municipal Council         | 31,98,205    |
| 390 | Chandrapur | the Nagbhid Municipal Council    | 31,88,623    |
| 391 | Chandrapur | Jivti Nagar Panchayat            | 5,63,281     |
| 392 | Chandrapur | Savli Nagar Panchayat            | 11,25,575    |
| 393 | Chandrapur | Korpana Nagar Panchayat          | 4,17,033     |
| 394 | Chandrapur | Gondpimpri Nagar Panchayat       | 6,64,878     |
----------------------------------------------------------------------
Page 14 of 13
# Page 14
Government Resolution No: FFC-2023/ No.35/ No.4,
------------------------------------------------------------------------
| 395   | Chandrapur     | Pombhurna Nagar Panchayat       | 8,16,329  |
| 396   | Chandrapur     | Sindewahi Nagar Panchayat       | 13,14,640 |
| 397   | Chandrapur     | Ghuggas Nagar Panchayat         | 28,48,242 |
| 398   | Chandrapur     | Bhisi Nagar Panchayat           | 11,92,017 |
| 399   | Gadchiroli     | Gadchiroli Municipal Council    | 49,01,521 |
| 400   | Gadchiroli     | the Desaiganj Municipal Council | 28,55,393 |
| 401   | Gadchiroli     | the Armory City Council         | 28,81,521 |
| 402   | Gadchiroli     | Korchi Nagar Panchayat          | 3,86,829  |
| 403   | Gadchiroli     | Bhamragad Nagar Panchayat       | 17,25,485 |
| 404   | Gadchiroli     | Dhanora Nagar Panchayat         | 8,58,430  |
| 405   | Gadchiroli     | Sironcha Nagar Panchayat        | 10,71,241 |
| 406   | Gadchiroli     | Kurkheda Nagar Panchayat        | 6,92,843  |
| 407   | Gadchiroli     | Aheri Nagar Panchayat           | 17,33,223 |
| 408   | Gadchiroli     | Etapalli Nagar Panchayat        | 16,01,185 |
| 409   | Gadchiroli.    | Chamorshi Nagar Panchayat       | 20,67,716 |
| 410   | Gadchiroli     | Mulchera Nagar Panchayat        | 3,43,324  |
| Total | 191,00,00, 000 |
------------------------------------------------------------------------
Digitally signed by MAHENDRA PARBAT DALVI MAHENDRA DNS= : MaharashtraCN = MAHENDRA , O = GOVERNMENT PARBAT DALVIOF , C = IN, MAHARASHTRA, OU= URBAN PARBAT DALVI Date: 2023.03.30 18:41:42+0530'
(Mahendra Singh Dhoni)
Administrative Officer, Government of Maharashtra
Page 14 of 14
